product_id,product_name,description,product_sku,brand_name,image,old_categories,reason_x,s1,s2,s3,reason_y
00030982-870b-4ee1-9974-0d137c1bba3a,Eco Mouse Pad 4282,"A high-quality mouse pad. Eco design, built for performance and everyday use.",SKU-ILNU87ZF,Bottle Brand Testing,https://example.com/images/product-4282.jpg,"Home & Garden, Pet Supplies",Only Old Categories,STATIONERY > OFFICE SUPPLIES > DESK ACCESSORIES,STATIONERY > OFFICE SUPPLIES > LAPTOP ESSENTIALS,STATIONERY > LIFESTYLE > GIFTS,Electronic mouse pad falls under desk accessories.
0004d8e5-3f28-49cf-986c-7902962a58fa,Essential Backpack 6579,"A high-quality backpack. Essential design, built for performance and everyday use.",SKU-4TFG1T4Y,Bottle Brand Testing,https://example.com/images/product-6579.jpg,Automotive,Only Old Categories,STATIONERY > SCHOOL SUPPLIES > BAGS & LUNCH BOX,FASHION > MEN > ACCESSORIES > BAGS,FASHION > WOMEN > ACCESSORIES > BAGS,General high-quality backpack for performance/everyday use.
00072d2e-578f-431c-bea1-1e58e1c86a92,هودي كم مقطوع Keep Your Vision Clear,...,,CULTURE WE ARE,https://fcadd929ce4bd6713e2135b6a4a68163.cdn.bubble.io/f1753098737574x546812555171674050/Screenshot%202025-07-21%20145209.png,,No Mapping,FASHION > MEN > CLOTHING > STREETWEAR > T-shirts,FASHION > WOMEN > CLOTHING > RTW > T-shirt,FASHION > MEN > CLOTHING > LOUNGEWEAR,Hoodie listed as unisex or streetwear.
00094047-63de-4b80-bb28-b413fb89d295,سديري طويل,سديري طويل من قماش الكريب,,Lavender design,https://fcadd929ce4bd6713e2135b6a4a68163.cdn.bubble.io/f1751405459450x426792476472634500/IMG_0884.jpeg,Abayas & Dresses,Only Old Categories,FASHION > WOMEN > CLOTHING > OUTWEAR > Abaya,FASHION > WOMEN > CLOTHING > RTW > Top,FASHION > WOMEN > CLOTHING > RTW > Long dress,Long vest/outerwear garment.
00096849-025d-413a-9559-1bea9c7bf6e4,ميدالية الدرعية,"منتج مصمم لمعلم من أبرز معالم الدرعية (حي الطريف)..

ميدالية منفذة من المعدن الذهبي الفاخر،
بتصميم مطبوع من وجه واحد ،ذو تفاصيل دقيقة وألوان متناغمة وجودة عالية، بإرتفاع 5.5 سم ..

يأتي المنتج مثبت بحلقة دائرية سيارة،حقيبة،…الخ، المنتج يحتوي على شعار المتجر ، ويقدم للعميل في بوكس دَنَّة الأنيق.
",Ax-108-103,دَنَّة,https://fcadd929ce4bd6713e2135b6a4a68163.cdn.bubble.io/f1744507792354x358211816999789000/DNNAH2732.jpeg,,No Mapping,STATIONERY > LIFESTYLE > KEY CHAIN,STATIONERY > LIFESTYLE > GIFTS,FASHION > WOMEN > ACCESSORIES > JEWELERY,Keychain product.
000b37a2-ac65-41f6-98ad-b6a1d8f65c5e,عباية 71 Fabrics,,100530000071,Fabrics by Z,,,No Mapping,FASHION > WOMEN > CLOTHING > OUTWEAR > Abaya,FASHION > WOMEN > CLOTHING > RTW > Long dress,FASHION > WOMEN > CLOTHING > RTW > Maxi dress,Abaya.
00127278-e749-47ac-bb18-91ae6d81c458,Smart Face Wash 5911,"A high-quality face wash. Smart design, built for performance and everyday use.",SKU-UB5IADHE,Bottle Brand Testing,https://example.com/images/product-5911.jpg,"Food & Beverages, Home & Garden",Only Old Categories,FASHION > WOMEN > SKIN CARE & BEAUTY > SKIN CARE,FASHION > MEN > HAIRCARE & GROOMING > HAIR GROOMING,FASHION > KIDS > BABYCARE & PERFUMES > BODYCARE,Face wash.
001578a4-c254-4664-b188-bdbaf0c9ec55,مجموعة ستيكرات كبسولات الحياة,,HA0026,هبة ستديو,,,No Mapping,STATIONERY > LIFESTYLE > GIFTS,STATIONERY > ART > ART ACCESSORIES,STATIONERY > SCHOOL SUPPLIES > ACCESSORIES,Sticker set.
001ba650-6167-4e9c-a506-32dab84f3063,تيشرت الغرب الامريكي,● تشيرت كوزي تم تصميمة وتصنيعه بعناية وبتفاصيل دقيقة بقماش قطني من أجود أنواع القطن ● يتميز بقدر عالي من النعومة والمرونة مما يجعله مريحاً ويمنح الجسم برودة طبيعية خلال فصل الصيف كما يحافظ على دفء الجسم في فصل الشتاء.; ● يعمل على إمداد الجسم بالقدر الكافي من البرودة و امتصاص أكبر قدر ممكن من العرق.; ● يأتي تشيرت كوزي بعدة مقاسات موحدة تناسب جميع الجنسين وبألوان متعددة وقادر على تحمل الاستخدام اليومي ● إذا كنت تبحث عن تي شيرت مريح وعصري ومناسب لجميع المناسبات، فنحن صنعنا الخيار الأمثل لك.,UX204-S-ORG,Kozi,https://cdn.dsmcdn.com/ty1683/prod/QC/20250526/21/548064c7-e1d8-3084-899c-e99423b8d1a0/1_org_zoom.jpg,,No Mapping,FASHION > MEN > CLOTHING > STREETWEAR > T-shirts,FASHION > WOMEN > CLOTHING > RTW > T-shirt,FASHION > MEN > CLOTHING > LOUNGEWEAR,Unisex t-shirt.
001bd5d5-e624-4236-864a-9e3498d47d40,هودي خفيف ابيض,بتصميم الثلج,,Llght OQ,https://fcadd929ce4bd6713e2135b6a4a68163.cdn.bubble.io/f1753138987429x252039708397784320/G4qjYR147q2NCkDkjxW6QSMhG1FnMbmwcypyzrrW.png,Clothing & Textiles,Only Old Categories,FASHION > MEN > CLOTHING > STREETWEAR > Jackets,FASHION > WOMEN > CLOTHING > LOUNGEWEAR > Top,FASHION > MEN > CLOTHING > LOUNGEWEAR,Light hoodie.
